Date,Open Price,High Price,Low Price,Close Price,Count,war,conflict,united states,FEDFUNDS
2021-03-22,365.0,374.24,365.0,371.02,,0.0821917808219178,0.2,0.0612244897959183,0.07
2021-04-05,372.06,394.335,372.06,391.81,,0.0958904109589041,0.1,0.0612244897959183,0.07
2021-04-19,392.0,392.39,370.142,380.56,,0.0821917808219178,0.2,0.0612244897959183,0.07
2021-05-03,379.77,396.99,379.06,390.78,,0.1232876712328767,0.2,0.0612244897959183,0.06
2021-05-17,389.63,394.17,381.35,382.2,,0.1232876712328767,0.5000000000000001,0.0612244897959183,0.06
2021-05-31,384.23,395.72,380.63,387.72,,0.0958904109589041,0.2,0.0408163265306122,0.06
2021-06-14,387.61,392.045,376.85,382.01,,0.0410958904109589,0.1,0.0408163265306122,0.08
2021-06-28,381.67,384.6,373.245,383.11,,0.0273972602739726,0.1,0.0408163265306122,0.08
2021-07-12,381.9,384.7,367.56,380.77,,0.1917808219178082,0.1,0.0204081632653061,0.1
2021-07-26,373.0,376.242,359.61,362.05,,0.0958904109589041,0.1,0.0408163265306122,0.1
2021-08-09,360.7,364.35,353.57,357.17,,0.0410958904109589,0.1,0.0612244897959183,0.09
2021-08-23,357.94,364.33,355.52,356.0,,0.136986301369863,0.1,0.0408163265306122,0.09
2021-09-06,354.72,354.72,339.15,340.98,,0.0410958904109589,0.1,0.0408163265306122,0.08
2021-09-20,338.7,357.235,335.1001,347.8,,0.0547945205479452,0.2,0.0612244897959183,0.08
2021-10-04,347.69,366.24,343.7,365.62,,0.0273972602739726,0.2,0.0612244897959183,0.08
2021-10-18,364.33,378.1,325.14,332.32,,0.0136986301369863,0.2,0.0612244897959183,0.08
2021-11-01,330.47,343.02,324.2278,339.06,,0.0136986301369863,0.2,0.0408163265306122,0.08
2021-11-15,339.55,348.09,338.08,342.72,,0.0410958904109589,0.2,0.0408163265306122,0.08
2021-11-29,344.0,347.24,328.2,344.88,,0.0,0.1,0.0204081632653061,0.08
2021-12-13,344.4,348.4,333.42,347.02,,0.0273972602739726,0.2,0.0612244897959183,0.08
2021-12-27,347.1,364.0,347.0,360.14,,0.0273972602739726,0.1,0.0204081632653061,0.08
2022-01-10,363.0,381.45,359.45,371.2,,0.0958904109589041,0.1,0.0612244897959183,0.08
2022-01-24,369.55,395.6,365.34,389.33,,0.1506849315068493,0.2,0.0612244897959183,0.08
2022-02-07,392.0,398.85,378.32,386.46,,0.1643835616438355,0.2,0.0612244897959183,0.08
2022-02-21,391.27,462.66,384.5,458.15,,0.2191780821917807,0.4,0.0816326530612244,0.08
2022-03-07,463.01,479.99,411.36,426.18,,1.0,0.7000000000000001,0.1020408163265305,0.2
2022-03-21,431.63,457.53,429.32,445.98,,0.3698630136986301,0.4,0.0816326530612244,0.2
2022-04-04,447.48,474.61,439.55,467.66,,0.3150684931506849,0.3,0.1020408163265305,0.33
2022-04-18,467.0,475.5,430.38,432.12,,0.2876712328767123,0.3,0.0816326530612244,0.33
2022-05-02,429.6,449.58,426.15,435.17,,0.2739726027397259,0.3,0.1224489795918367,0.77
2022-05-16,435.0,454.06,417.29,450.56,,0.2602739726027397,0.3,0.1020408163265305,0.77
2022-05-30,443.0,456.67,425.75,430.19,,0.1917808219178082,0.2,0.0816326530612244,0.77
2022-06-13,424.4,428.36,394.66,419.04,,0.1643835616438355,0.2,0.0612244897959183,1.21
2022-06-27,419.04,434.96,407.21,420.35,,0.1232876712328767,0.2,0.0816326530612244,1.21
2022-07-11,417.9,423.0,373.67,394.74,,0.1506849315068493,0.1,0.0816326530612244,1.68
2022-07-25,394.37,434.6525,393.625,426.41,,0.0958904109589041,0.1,0.0612244897959183,1.68
2022-08-08,427.5,445.49,421.675,440.03,,0.136986301369863,0.1,0.0408163265306122,2.33
2022-08-22,438.51,442.775,417.55,418.57,,0.0821917808219178,0.1,0.0612244897959183,2.33
2022-09-05,419.01,423.62,407.36,414.29,,0.0958904109589041,0.2,0.0816326530612244,2.56
2022-09-19,414.0,433.786,381.55,386.29,11881.0,0.2328767123287671,0.3,0.0816326530612244,2.56
2022-10-03,389.74,418.6299,388.1,389.41,13186.0,0.1917808219178082,0.3,0.0816326530612244,3.08
2022-10-17,393.0,491.14,392.145,484.87,12214.0,0.2054794520547945,0.3,0.0816326530612244,3.08
2022-10-31,480.45,494.66,462.61,463.86,12241.0,0.2191780821917807,0.3,0.0816326530612244,3.08
2022-11-14,467.35,484.5,458.05,483.46,12594.0,0.547945205479452,0.2,0.183673469387755,3.78
2022-11-28,480.11,498.95,477.73,483.58,12074.0,0.3287671232876711,0.2,0.0408163265306122,3.78
2022-12-12,484.95,491.4499,473.665,483.29,11155.0,0.2876712328767123,0.3,0.0612244897959183,4.1
2022-12-26,485.0,489.81,465.765,473.24,9531.0,0.2328767123287671,0.1,0.0612244897959183,4.1
2023-01-09,467.79,470.79,437.62,443.28,9335.0,0.2328767123287671,0.1,0.0408163265306122,4.33
2023-01-23,443.11,466.6999,437.69,459.08,11539.0,0.2328767123287671,0.2,0.0612244897959183,4.33
2023-02-06,463.58,489.5,462.75,475.63,12308.0,0.2191780821917807,0.2,0.0816326530612244,4.57
2023-02-20,480.51,484.1,471.29,477.89,11581.0,0.1917808219178082,0.3,0.0816326530612244,4.57
2023-03-06,476.82,487.6403,463.29,465.87,12515.0,0.2054794520547945,0.3,0.0816326530612244,4.65
